person,dept,eow,cause
Policeman George Dill,"Buffalo Police Department, NY","EOW: Tuesday, January 10, 1865",Cause: Gunfire
Guard Daniel Heavey,"Ohio Department of Rehabilitation and Correction, OH","EOW: Thursday, January 19, 1865",Cause: Stabbed
Sergeant W. C. Stockham,"Memphis Police Department, TN","EOW: Wednesday, February 22, 1865",Cause: Gunfire
Assistant Provost Marshal John B. Cook,"United States Army Criminal Investigation Division, US","EOW: Sunday, March 5, 1865",Cause: Gunfire
"Sheriff John Quincy Daugherty, Sr.","Uvalde County Sheriff's Office, TX","EOW: Saturday, March 18, 1865",Cause: Gunfire
Deputy Sheriff O. John Hart,"Umatilla County Sheriff's Department, OR","EOW: Monday, May 1, 1865",Cause: Gunfire
Sheriff Cornelius Sage,"Yuma County Sheriff's Department, AZ","EOW: Wednesday, May 3, 1865",Cause: Gunfire
Sheriff Joseph E. Branscomb,"DeKalb County Sheriff's Office, MO","EOW: Monday, July 31, 1865",Cause: Gunfire
"Officer Thomas DeVane, V","Wilmington Police Department, NC","EOW: Saturday, August 5, 1865",Cause: Gunfire
Patrolman Thomas Walker,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 15, 1865",Cause: Gunfire
Constable Andrew J. Frank,"Suspension Bridge Village Police Department, NY","EOW: Saturday, September 16, 1865",Cause: Gunfire
Patrolman Edward Holmes,"Johnstown Police Department, PA","EOW: Saturday, September 23, 1865",Cause: Gunfire
Sheriff John H. Payntor,"Cedar County Sheriff's Office, MO","EOW: Thursday, October 5, 1865",Cause: Gunfire
Lieutenant William L. Harville,"Cedar County Sheriff's Office, MO","EOW: Thursday, October 5, 1865",Cause: Gunfire
Patrolman Thomas J. McFadden,"Louisville Police Department, KY","EOW: Friday, December 29, 1865",Cause: Gunfire
Sheriff Benjamen McLean,"Shelby County Sheriff's Office, OH","EOW: Friday, February 9, 1866",Cause: Assault
Deputy Sheriff William H. Hendricks,"Santa Clara County Sheriff's Office, CA","EOW: Thursday, February 15, 1866",Cause: Gunfire
Sheriff George Rogers,"Lincoln County Sheriff's Office, NV","EOW: Thursday, March 1, 1866",Cause: Gunfire
Patrolman William Mower,"Memphis Police Department, TN","EOW: Thursday, March 1, 1866",Cause: Gunfire
Patrolman John Stevens,"Memphis Police Department, TN","EOW: Tuesday, May 1, 1866",Cause: Gunfire
Policeman John Curry,"Leavenworth Police Department, KS","EOW: Tuesday, May 8, 1866",Cause: Stabbed
Sheriff William Read McMullen,"Angelina County Sheriff's Office, TX","EOW: Saturday, May 19, 1866",Cause: Gunfire
Town Marshal Jesse Dickson,"Quincy Police Department, FL","EOW: Monday, May 21, 1866",Cause: Gunfire
Jailer Henry Bugler,"Jackson County Sheriff's Office, MO","EOW: Wednesday, June 13, 1866",Cause: Gunfire
Jailer Uriah S. Gregory,"Storey County Sheriff's Office, NV","EOW: Thursday, June 21, 1866",Cause: Assault
Private Alvin A. Clark,"Texas Rangers, TX","EOW: Friday, June 29, 1866",Cause: Gunfire
Patrolman John Fuchs,"Morrisania Police Department, NY","EOW: Wednesday, July 4, 1866",Cause: Gunfire
Deputy Sheriff John Ormsby,"Fremont County Sheriff's Department, IA","EOW: Tuesday, July 10, 1866",Cause: Gunfire
Officer Thomas A. Welch,"Omaha Police Department, NE","EOW: Friday, August 17, 1866",Cause: Gunfire
Patrolman John Hipwell,"Brooklyn Police Department, NY","EOW: Tuesday, October 9, 1866",Cause: Gunfire
Officer Charles E. Gall,"Hagerstown Police Department, MD","EOW: Wednesday, October 10, 1866",Cause: Assault
Deputy U.S. Marshal George W. Leihy,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 18, 1866",Cause: Assault
City Marshal Felix A. Boller,"Ogden Police Department, KS","EOW: Wednesday, December 12, 1866",Cause: Gunfire
Policeman Silas Benjamin Newcomb,"Victoria Police Department, TX","EOW: Tuesday, December 18, 1866",Cause: Gunfire
Deputy Sheriff Horace P. Stewart,"Spokane County Sheriff's Department, WA","EOW: Monday, February 18, 1867",Cause: Gunfire
Deputy Sheriff Mat Green,"Lamar County Sheriff's Office, TX","EOW: Friday, March 1, 1867",Cause: Gunfire
Sheriff Joseph Bailey,"Vernon County Sheriff's Department, MO","EOW: Tuesday, March 26, 1867",Cause: Gunfire
Patrolman John M. Claridge,"Memphis Police Department, TN","EOW: Tuesday, April 23, 1867",Cause: Gunfire
Deputy Sheriff George Frank S. Griffin,"Ray County Sheriff's Department, MO","EOW: Thursday, May 23, 1867",Cause: Gunfire
Jailer Barry G. Griffin,"Ray County Sheriff's Department, MO","EOW: Thursday, May 23, 1867",Cause: Gunfire
Deputy Sheriff Isaac Ward,"Jack County Sheriff's Department, TX","EOW: Thursday, May 23, 1867",Cause: Gunfire
Patrolman Walter M. Rogers,"Memphis Police Department, TN","EOW: Tuesday, June 4, 1867",Cause: Gunfire
Sheriff Samuel Lewis,"McNairy County Sheriff's Department, TN","EOW: Wednesday, July 31, 1867",Cause: Gunfire
Deputy City Marshal Thomas G. O'Conner,"Portland Police Bureau, OR","EOW: Thursday, August 8, 1867",Cause: Gunfire
Deputy Constable Richard P. Ryan,"Ophir City Constable's Office, NV","EOW: Saturday, August 31, 1867",Cause: Gunfire
City Marshal Charles H. Keeler,"The Dalles Police Department, OR","EOW: Thursday, September 5, 1867",Cause: Gunfire
Town Marshal Reuben Fenstenmaker,"Farmington Marshal's Office, IA","EOW: Wednesday, September 11, 1867",Cause: Gunfire
Patrolman Van Ness Wells,"San Antonio Police Department, TX","EOW: Thursday, September 26, 1867",Cause: Stabbed
Patrolman Robert S. McChesney,"New York Metropolitan Police Force, NY","EOW: Saturday, October 19, 1867",Cause: Stabbed
Police Officer Richard B. Richardson,"Oakland Police Department, CA","EOW: Wednesday, October 23, 1867",Cause: Gunfire
Patrolman Charles Thompson,"New York Metropolitan Police Force, NY","EOW: Sunday, December 1, 1867",Cause: Stabbed
Sheriff Benjamin Franklin Orcutt,"Kalamazoo County Sheriff's Department, MI","EOW: Thursday, December 12, 1867",Cause: Gunfire
Sheriff Timothy B. Smith,"Ormsby County Sheriff's Office, NV","EOW: Tuesday, December 17, 1867",Cause: Gunfire
Night Watchman Joseph Burnham,"Haverhill Police Department, MA","EOW: Monday, December 23, 1867",Cause: Gunfire
Patrolman John M. Fenton,"Memphis Police Department, TN","EOW: Tuesday, December 31, 1867",Cause: Gunfire
Patrolman William Dozier,"Knoxville Police Department, TN","EOW: Wednesday, January 1, 1868",Cause: Gunfire
Captain John McKinstry,"Mattoon Police Department, IL","EOW: Saturday, February 22, 1868",Cause: Gunfire
Patrolman William Levan,"Reading Police Department, PA","EOW: Thursday, February 27, 1868",Cause: Heart attack
Patrolman John Gear,"Memphis Police Department, TN","EOW: Friday, March 13, 1868",Cause: Gunfire
Sheriff James Cochran,"Trinity County Sheriff's Department, CA","EOW: Tuesday, March 17, 1868",Cause: Stabbed
Policeman David Calvin Crandall,"Capital Police District, NY","EOW: Saturday, April 18, 1868",Cause: Gunfire
Officer Butch Dobler,"Marysville Police Department, CA","EOW: Tuesday, June 2, 1868",Cause: Gunfire
Captain James Somers Perry,"Memphis Police Department, TN","EOW: Friday, June 12, 1868",Cause: Gunfire
Patrolman John W. Skinner,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, June 16, 1868",Cause: Gunfire
Constable Manuel Garcia Y Griego,"Ranchos de Albuquerque Constable's Office, NM","EOW: Wednesday, June 24, 1868",Cause: Gunfire
Patrolman Henry Corbett,"New York Metropolitan Police Force, NY","EOW: Monday, July 13, 1868",Cause: Drowned
Deputized Civilian Walter Williams,"Storey County Sheriff's Office, NV","EOW: Saturday, July 18, 1868",Cause: Gunfire
Patrolman John Smedick,"New York Metropolitan Police Force, NY","EOW: Thursday, July 23, 1868",Cause: Gunfire
Deputy Marshal Robert Goode,"Columbus Police Department, TX","EOW: Tuesday, July 28, 1868",Cause: Gunfire
Patrolman John P. Brady,"Wheeling Police Department, WV","EOW: Sunday, September 27, 1868",Cause: Fire
Police Officer James Young,"Philadelphia Police Department, PA","EOW: Wednesday, October 14, 1868",Cause: Gunfire
Patrolman Samuel Bryson,"Savannah Police Department, GA","EOW: Wednesday, November 4, 1868",Cause: Gunfire
Patrolman Robert E. Read,"Savannah Police Department, GA","EOW: Thursday, November 5, 1868",Cause: Gunfire
City Marshal William Dean Sanford,"Jefferson Police Department, TX","EOW: Friday, November 20, 1868",Cause: Gunfire
Inspector William H. Phelps,"United States Department of the Treasury - Customs Service, US","EOW: Friday, December 18, 1868",Cause: Gunfire
Inspector George T. Hammonds,"United States Department of the Treasury - Customs Service, US","EOW: Friday, December 18, 1868",Cause: Gunfire
Police Officer David S. Faulkner,"Malden Police Department, MA","EOW: Tuesday, December 22, 1868",Cause: Gunfire
Patrolman Nathan Haynes,"Knoxville Police Department, TN","EOW: Friday, January 1, 1869",Cause: Gunfire
City Marshal John T. Thompson,"Covington Police Department, KY","EOW: Sunday, February 28, 1869",Cause: Gunfire
Sergeant D. J. Finch,"Memphis Police Department, TN","EOW: Monday, March 8, 1869",Cause: Gunfire
Deputy Sheriff James W. Wood,"Ouachita Parish Sheriff's Office, LA","EOW: Friday, March 12, 1869",Cause: Gunfire
Keeper Edwin A. Craft,"New York State Department of Correctional Services, NY","EOW: Thursday, March 18, 1869",Cause: Assault
Officer Ignatio Andrea,"Jacksonville Police Department, FL","EOW: Wednesday, April 14, 1869",Cause: Stabbed
Deputy Sheriff William C. Hall,"Collin County Sheriff's Office, TX","EOW: Saturday, April 24, 1869",Cause: Gunfire
Chief of Police Michael Baer,"Fort Smith Police Department, AR","EOW: Wednesday, May 26, 1869",Cause: Gunfire
Customs Inspector Frank Dupont,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, May 26, 1869",Cause: Gunfire
Sheriff Leonard C. DeLisle,"Harrison County Sheriff's Office, TX","EOW: Thursday, May 27, 1869",Cause: Gunfire
Sheriff Orson Rodolphus Colgrove,"Jones County Sheriff's Office, NC","EOW: Saturday, May 29, 1869",Cause: Gunfire
Sheriff Andrew Jackson Jacobs,"Goliad County Sheriff's Department, TX","EOW: Saturday, June 5, 1869",Cause: Gunfire
Officer Thomas Kirkham,"Richmond Police Department, VA","EOW: Thursday, July 1, 1869",Cause: Fall
Patrolman John O'Connell,"Louisville Police Department, KY","EOW: Thursday, July 8, 1869",Cause: Gunfire (Accidental)
City Marshal Robert A. Clark,"Black Hawk Police Department, CO","EOW: Saturday, July 10, 1869",Cause: Gunfire
Patrolman Thomas D. Moore,"Muscatine Police Department, IA","EOW: Monday, July 12, 1869",Cause: Weather/Natural disaster
Patrolman Issac Wiltse,"Owego Police Department, NY","EOW: Saturday, July 17, 1869",Cause: Gunfire
Deputy Sheriff Henry Pratt,"Tazewell County Sheriff's Office, IL","EOW: Friday, July 30, 1869",Cause: Gunfire
Deputy Sheriff S. D. Sheldon,"Elko County Sheriff's Office, NV","EOW: Monday, August 2, 1869",Cause: Gunfire
Deputy Sheriff Willard Griggs,"Rensselaer County Sheriff's Office, NY","EOW: Monday, August 2, 1869",Cause: Gunfire
Patrolman John A. Branagan,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 10, 1869",Cause: Accidental
Deputy Sheriff Duff G. Williams,"Smith County Sheriff's Office, TX","EOW: Thursday, August 26, 1869",Cause: Gunfire
Sheriff Thomas Wilson Napier,"Lincoln County Sheriff's Office, KY","EOW: Saturday, September 18, 1869",Cause: Gunfire
Township Constable William Semans,"Ellsworth Police Department, KS","EOW: Sunday, September 26, 1869",Cause: Gunfire
Patrolman James Crofton,"New Orleans Police Department, LA","EOW: Monday, October 4, 1869",Cause: Gunfire
Deputy Sheriff Edward Faust,"Dewitt County Sheriff's Office, TX","EOW: Monday, October 18, 1869",Cause: Gunfire
Posseman Henry Gonzalvo Woods,"Dewitt County Sheriff's Office, TX","EOW: Monday, October 18, 1869",Cause: Gunfire
Deputy Sheriff Lewis C. Story,"Clinton County Sheriff's Department, KY","EOW: Wednesday, October 27, 1869",Cause: Gunfire
Police Deputy Ira M. Buchanan,"Junction City Police Department, KS","EOW: Saturday, November 13, 1869",Cause: Gunfire
Deputy Sheriff Nelson Maxey,"Washington County Sheriff's Office, TX","EOW: Friday, November 19, 1869",Cause: Gunfire
Deputy U.S. Marshal Theodore W. Moses,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, December 6, 1869",Cause: Gunfire
Police Officer Daniel McMullen,"Pittsburgh Police Department, PA","EOW: Saturday, December 18, 1869",Cause: Assault
Special Constable John B. Drummond,"Brunswick County Constable's Office, VA","EOW: Friday, December 24, 1869",Cause: Gunfire
Patrolman John D. Sullivan,"Savannah Police Department, GA","EOW: Saturday, December 25, 1869",Cause: Gunfire
Police Officer A. G. Hearn,"Bryan Police Department, TX","EOW: Wednesday, February 9, 1870",Cause: Stabbed
Sheriff David William L. Mizell,"Orange County Sheriff's Office, FL","EOW: Monday, February 21, 1870",Cause: Gunfire
Deputy City Marshal Eli Stallings,"Bastrop Police Department, TX","EOW: Saturday, March 12, 1870",Cause: Gunfire
Special Officer Richard O. Busch,"Richmond Police Department, VA","EOW: Sunday, March 20, 1870",Cause: Gunfire
Sheriff John H. Wisner,"Ouachita Parish Sheriff's Office, LA","EOW: Wednesday, March 30, 1870",Cause: Gunfire
Officer William Johnson,"Jacksonville Police Department, FL","EOW: Tuesday, April 12, 1870",Cause: Assault
Officer Uriah H. Sears,"Cincinnati Police Department, OH","EOW: Monday, April 18, 1870",Cause: Stabbed
Undersheriff john Henry Bodine,"Labette County Sheriff's Office, KS","EOW: Wednesday, April 20, 1870",Cause: Gunfire
Sergeant James T. Cox,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer James M. Carter,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer William R. Cray,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Deputy U.S. Marshal Thomas P. Foley,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer John Kerr,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer Michael McCarthy,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer John R. Meagher,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer James A. Seay,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer Julius Schultz,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Captain D. G. Tourgee,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Officer James M. Walker,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause: Structure collapse
Deputy U.S. Marshal William Rufus Story,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, May 2, 1870",Cause: Gunfire
Posseman Festus Sprague,"Grantsville Police Department, UT","EOW: Tuesday, May 3, 1870",Cause: Gunfire
Sheriff Dennis J. Kelly,"Nueces County Sheriff's Office, TX","EOW: Monday, June 13, 1870",Cause: Gunfire
Police Officer Dennis Sullivan,"Philadelphia Police Department, PA","EOW: Tuesday, June 14, 1870",Cause: Assault
Sheriff William M. Thompson,"Washington County Sheriff's Office, TX","EOW: Tuesday, June 14, 1870",Cause: Gunfire
Constable Jere McCheane,"Omaha Police Department, NE","EOW: Sunday, June 26, 1870",Cause: Stabbed
Police Officer James Murphy,"Baltimore City Police Department, MD","EOW: Tuesday, July 5, 1870",Cause: Assault
Sheriff Gaylord Lyman,"Lucas County Sheriff's Office, IA","EOW: Wednesday, July 6, 1870",Cause: Gunfire
Patrolman John Regan,"Memphis Police Department, TN","EOW: Wednesday, July 13, 1870",Cause: Duty related illness
Officer William M. Landers,"Kentucky Central Railroad Police Department, RR","EOW: Saturday, July 30, 1870",Cause: Stabbed
Warden William Willard,"Connecticut Department of Correction, CT","EOW: Sunday, August 14, 1870",Cause: Stabbed
Deputy John A. McClain,"Colusa County Sheriff's Department, CA","EOW: Saturday, September 17, 1870",Cause: Gunfire
Patrolman Seth A. Noyes,"Boston Police Department, MA","EOW: Tuesday, October 18, 1870",Cause: Assault
City Marshal William Warren,"Los Angeles Police Department, CA","EOW: Tuesday, November 1, 1870",Cause: Gunfire
City Marshal Thomas J. Smith,"Abilene Police Department, KS","EOW: Wednesday, November 2, 1870",Cause: Gunfire
City Marshal Henry C. Seaman,"Baxter Springs Police Department, KS","EOW: Monday, November 7, 1870",Cause: Gunfire
Private Lorenzo Biediger,"Texas Rangers, TX","EOW: Tuesday, December 6, 1870",Cause: Assault
Private Walter Richarz,"Texas Rangers, TX","EOW: Tuesday, December 6, 1870",Cause: Assault
Private Joseph R. Riff,"Texas Rangers, TX","EOW: Tuesday, December 6, 1870",Cause: Assault
Private Albert M. Swift,"Texas Rangers, TX","EOW: Tuesday, December 27, 1870",Cause: Duty related illness
City Marshal Laban John Hoffman,"Waco Police Department, TX","EOW: Friday, January 6, 1871",Cause: Gunfire
Deputy Sheriff James McMahan,"Dallas County Sheriff's Department, TX","EOW: Monday, January 16, 1871",Cause: Gunfire
